Year;Segment;Average width;Sinuosity;Wavelength;Semimeander length;LevelOfImpact;Zone;Period
1992;1;58.813;1.008;125.069;126.112;1;1;Minimal mining
1992;1;56.634;1.022;137.094;140.091;1;1;Minimal mining
1992;1;71.514;1.046;439.943;460.07;1;1;Minimal mining
1992;1;99.302;1.074;316.56;340.052;1;1;Minimal mining
1992;1;90.637;1.007;210.125;211.643;1;1;Minimal mining
1992;1;56.928;1.021;174.038;177.71;1;1;Minimal mining
1992;1;72.443;1.172;213.998;250.747;1;1;Minimal mining
1992;1;123.767;1.107;198.73;220.035;1;1;Minimal mining
1992;1;145.992;1.252;271.711;340.054;1;1;Minimal mining
1996;1;52.591;1.173;341.623;400.599;1;1;Minimal mining
1996;1;89.23;1.483;144.617;214.433;1;1;Minimal mining
1996;1;59.22;1.461;133.514;195.094;1;1;Minimal mining
1996;1;60.035;1.487;100.588;149.531;1;1;Minimal mining
1996;1;43.153;1.057;121.624;128.57;1;1;Minimal mining
1996;1;58.273;1.027;130.1;133.609;1;1;Minimal mining
1996;1;41.687;1.004;111.216;111.69;1;1;Minimal mining
1996;1;55.62;1.714;219.311;375.862;1;1;Minimal mining
1996;1;46.026;1.106;144.603;159.931;1;1;Minimal mining
1996;1;44.731;1.03;227.285;234.037;1;1;Minimal mining
1996;1;76.54;2.721;153.601;418.013;1;1;Minimal mining
1996;1;58.293;1.177;386.016;454.178;1;1;Minimal mining
1996;1;53.781;1.065;474.312;504.977;1;1;Minimal mining
1996;1;85.423;1.098;336.918;369.873;1;1;Minimal mining
1996;1;61.083;1.042;214.267;223.361;1;1;Minimal mining
1996;1;54.53;1.046;161.373;168.741;1;1;Minimal mining
1996;1;60.119;1.106;250.834;277.479;1;1;Minimal mining
1996;1;98.04;1.086;199.334;216.504;1;1;Minimal mining
1996;1;91.911;1.545;209.552;323.793;1;1;Minimal mining
2000;1;47.032;1.554;190.012;295.209;1;1;Minimal mining
2000;1;66.451;1.556;220.885;343.609;1;1;Minimal mining
2000;1;67.48;1.977;112.958;223.304;1;1;Minimal mining
2000;1;59.784;1.367;145.921;199.416;1;1;Minimal mining
2000;1;67.027;1.123;119.331;134.031;1;1;Minimal mining
2000;1;58.016;1.204;456.117;549.353;1;1;Minimal mining
2000;1;85.273;1.187;185.373;220.125;1;1;Minimal mining
2000;1;61.019;1.015;310.517;315.249;1;1;Minimal mining
2000;1;90.118;1.89;166.095;313.877;1;1;Minimal mining
2000;1;85.787;1.186;420.2;498.208;1;1;Minimal mining
2000;1;74;1.041;397.932;414.228;1;1;Minimal mining
2000;1;101.046;1.117;382.555;427.198;1;1;Minimal mining
2000;1;82.237;1.032;210.772;217.615;1;1;Minimal mining
2000;1;76.292;1.029;236.933;243.853;1;1;Minimal mining
2000;1;110.086;1.054;445.051;468.948;1;1;Minimal mining
2000;1;122.837;1.387;435.629;604.02;1;1;Minimal mining
2004;1;69.41;1.28;217.151;277.929;2;1;Moderate mining
2004;1;68.049;1.483;166.806;247.387;2;1;Moderate mining
2004;1;36.364;2.596;114.384;296.884;2;1;Moderate mining
2004;1;56.599;1.319;96.052;126.685;2;1;Moderate mining
2004;1;60.221;1.154;118.285;136.479;2;1;Moderate mining
2004;1;69.02;1.294;460.812;596.278;2;1;Moderate mining
2004;1;70.896;1.195;198.769;237.585;2;1;Moderate mining
2004;1;69.532;1.008;233.659;235.505;2;1;Moderate mining
2004;1;78.632;1.755;173.916;305.24;2;1;Moderate mining
2004;1;66.084;1.272;459.111;584.06;2;1;Moderate mining
2004;1;59.826;1.049;364.486;382.275;2;1;Moderate mining
2004;1;72.02;1.2;322.432;386.988;2;1;Moderate mining
2004;1;79.822;1.018;261.253;265.937;2;1;Moderate mining
2004;1;67.685;1.051;275.73;289.805;2;1;Moderate mining
2004;1;101.069;1.134;405.16;459.267;2;1;Moderate mining
2004;1;89.791;1.384;473.454;655.153;2;1;Moderate mining
2008;1;67.99;1.336;190.963;255.033;2;1;Moderate mining
2008;1;73.18;1.834;182.356;334.482;2;1;Moderate mining
2008;1;74.986;2.004;122.7;245.897;2;1;Moderate mining
2008;1;77.072;1.612;100.804;162.534;2;1;Moderate mining
2008;1;65.516;1.067;227.02;242.271;2;1;Moderate mining
2008;1;64.489;1.234;373.903;461.212;2;1;Moderate mining
2008;1;84.331;1.08;194.901;210.471;2;1;Moderate mining
2008;1;68.35;1.01;197.292;199.205;2;1;Moderate mining
2008;1;82.103;2.25;230.446;518.393;2;1;Moderate mining
2008;1;100.776;1.077;370.449;398.922;2;1;Moderate mining
2008;1;67.598;1.057;442.697;467.765;2;1;Moderate mining
2008;1;78.024;1.284;347.894;446.801;2;1;Moderate mining
2008;1;89.527;1.062;271.246;288.08;2;1;Moderate mining
2008;1;106.724;1.011;253.896;256.756;2;1;Moderate mining
2008;1;142.303;1.011;416.455;420.928;2;1;Moderate mining
2012;1;67.904;1.306;214.041;279.619;3;1;Intensive mining
2012;1;70.167;1.655;143.003;236.718;3;1;Intensive mining
2012;1;88.237;2.223;103.857;230.852;3;1;Intensive mining
2012;1;81.134;1.334;126.687;168.964;3;1;Intensive mining
2012;1;76.325;1.023;198.434;202.939;3;1;Intensive mining
2012;1;76.863;1.363;376.515;513.307;3;1;Intensive mining
2012;1;91.428;1.074;153.714;165.151;3;1;Intensive mining
2012;1;77.792;1.016;211.247;214.596;3;1;Intensive mining
2012;1;85.763;2.315;182.057;421.533;3;1;Intensive mining
2012;1;111.878;1.233;406.781;501.723;3;1;Intensive mining
2012;1;78.583;1.06;431.341;457.392;3;1;Intensive mining
2012;1;91.371;1.272;298.689;379.919;3;1;Intensive mining
2012;1;90.874;1.086;318.263;345.522;3;1;Intensive mining
2012;1;128.049;1.018;430.785;438.674;3;1;Intensive mining
2012;1;150.287;1.224;704.803;862.715;3;1;Intensive mining
2014;1;77.804;1.421;236.022;335.335;3;1;Intensive mining
2014;1;65.208;1.753;130.274;228.349;3;1;Intensive mining
2014;1;61.254;2.606;115.755;301.676;3;1;Intensive mining
2014;1;57.986;1.554;120.869;187.799;3;1;Intensive mining
2014;1;55.632;1.057;206.438;218.306;3;1;Intensive mining
2014;1;59.224;1.297;400.055;518.747;3;1;Intensive mining
2014;1;66.872;1.108;135.279;149.824;3;1;Intensive mining
2014;1;58.442;1.024;164.224;168.156;3;1;Intensive mining
2014;1;72.308;2.703;149.235;403.408;3;1;Intensive mining
2014;1;83.871;1.229;474.543;583.264;3;1;Intensive mining
2014;1;79.394;1.073;377.452;404.916;3;1;Intensive mining
2014;1;82.858;1.293;311.478;402.615;3;1;Intensive mining
2014;1;90.565;1.095;366.767;401.781;3;1;Intensive mining
2014;1;98.805;1.019;327.65;333.866;3;1;Intensive mining
2014;1;254.212;1.044;1088.412;1136.352;3;1;Intensive mining
2015;1;74.461;1.404;145.653;204.53;3;1;Intensive mining
2015;1;86.503;1.485;229.589;340.831;3;1;Intensive mining
2015;1;124.243;1.443;167.077;241.049;3;1;Intensive mining
2015;1;130.248;1.444;628.604;907.652;3;1;Intensive mining
2015;1;141.474;2.269;193.909;439.944;3;1;Intensive mining
2015;1;173.215;1.084;383.697;415.755;3;1;Intensive mining
2015;1;181.884;1.146;423.081;484.876;3;1;Intensive mining
2015;1;226.437;1.122;365.584;410.039;3;1;Intensive mining
2015;1;152.514;1.04;346.555;360.558;3;1;Intensive mining
2015;1;167.486;1.049;322.277;338.019;3;1;Intensive mining
2015;1;183.11;1.211;884.333;1070.822;3;1;Intensive mining
2016;1;149.651;1.008;326.735;329.279;3;1;Intensive mining
2016;1;117.973;1.235;247.51;305.665;3;1;Intensive mining
2016;1;193.712;1.213;461.943;560.54;3;1;Intensive mining
2016;1;239.993;1.57;359.921;564.939;3;1;Intensive mining
2016;1;166.961;1.077;345.673;372.231;3;1;Intensive mining
2016;1;164.206;1.028;378.908;389.342;3;1;Intensive mining
2016;1;172.532;1.14;346.988;395.724;3;1;Intensive mining
2016;1;153.943;1.046;381.87;399.353;3;1;Intensive mining
2016;1;198.078;1.009;308.381;311.102;3;1;Intensive mining
2016;1;170.469;1.014;366.143;371.403;3;1;Intensive mining
2017;1;77.044;1.196;254.885;304.732;3;1;Intensive mining
2017;1;79.416;1.368;99.075;135.516;3;1;Intensive mining
2017;1;118.337;1.449;132.023;191.285;3;1;Intensive mining
2017;1;80.88;1.188;154.535;183.617;3;1;Intensive mining
2017;1;97.884;1.026;216.579;222.214;3;1;Intensive mining
2017;1;68.688;1.128;414.409;467.408;3;1;Intensive mining
2017;1;89.526;1.931;193.061;372.736;3;1;Intensive mining
2017;1;103.985;1.117;282.816;315.871;3;1;Intensive mining
2017;1;110.279;1.059;473.146;500.847;3;1;Intensive mining
2017;1;111.397;1.195;568.645;679.572;3;1;Intensive mining
2017;1;158.254;1.139;301.606;343.587;3;1;Intensive mining
2017;1;113.953;1.02;247.302;252.198;3;1;Intensive mining
2017;1;113.853;1.02;354.682;361.603;3;1;Intensive mining
2018;1;66.548;1.2;260.884;312.983;3;1;Intensive mining
2018;1;88.446;1.229;898.399;1104.015;3;1;Intensive mining
2018;1;96.34;1.915;171.978;329.421;3;1;Intensive mining
2018;1;73.137;1.067;188.002;200.567;3;1;Intensive mining
2018;1;91.104;1.008;255.249;257.332;3;1;Intensive mining
2018;1;70.344;1.128;162.443;183.165;3;1;Intensive mining
2018;1;71.917;1.236;209.909;259.397;3;1;Intensive mining
2018;1;74.745;1.298;411.236;533.788;3;1;Intensive mining
2018;1;114.41;1.22;428.417;522.741;3;1;Intensive mining
2018;1;104.673;1.047;315.941;330.661;3;1;Intensive mining
2018;1;90.635;1.069;326.36;348.794;3;1;Intensive mining
2020;1;80.526;1.059;372.948;395;3;1;Intensive mining
2020;1;57.23;1.191;890.966;1061;3;1;Intensive mining
2020;1;90.816;2.135;171.918;367;3;1;Intensive mining
2020;1;69.988;1.048;316.848;332;3;1;Intensive mining
2020;1;77.367;1.063;381.761;406;3;1;Intensive mining
2020;1;68.151;1.253;372.703;467;3;1;Intensive mining
2020;1;104.312;1.157;442.546;512;3;1;Intensive mining
2020;1;134.229;1.039;426.379;443;3;1;Intensive mining
2020;1;111.402;1.04;301.089;313;3;1;Intensive mining
1984;2;67.993;1.099;279.618;307.34;1;1;Minimal mining
1984;2;70.66;1.406;261.235;367.202;1;1;Minimal mining
1984;2;62.256;1.012;181.574;183.801;1;1;Minimal mining
1984;2;121.455;1.073;224.492;240.969;1;1;Minimal mining
1984;2;79.749;1.592;481.323;766.247;1;1;Minimal mining
1984;2;75.143;1.871;499.27;933.898;1;1;Minimal mining
1984;2;115.076;1.161;417.798;485.184;1;1;Minimal mining
1984;2;105.16;1.041;474.671;494.165;1;1;Minimal mining
1984;2;167.857;1.042;250.76;261.281;1;1;Minimal mining
1984;2;77.632;1.188;439.596;522.28;1;1;Minimal mining
1984;2;47.817;1.013;291.078;294.903;1;1;Minimal mining
1987;2;86.968;1.078;283.582;305.776;1;1;Minimal mining
1987;2;130.77;1.268;372.418;472.088;1;1;Minimal mining
1987;2;110.187;2.281;419.129;956.017;1;1;Minimal mining
1987;2;76.264;1.524;479.815;731.462;1;1;Minimal mining
1987;2;154.626;1.354;450.839;610.212;1;1;Minimal mining
1987;2;128.664;1.019;523.2;533.171;1;1;Minimal mining
1987;2;160.417;1.016;281.931;286.516;1;1;Minimal mining
1987;2;98.455;1.151;491.902;566.145;1;1;Minimal mining
1987;2;81.247;1.011;324.484;327.974;1;1;Minimal mining
1992;2;145.992;1.252;271.711;340.054;1;1;Minimal mining
1992;2;79.391;1.317;334.131;440.07;1;1;Minimal mining
1992;2;105.528;2.286;429.945;982.852;1;1;Minimal mining
1992;2;105.858;1.648;471.684;777.43;1;1;Minimal mining
1992;2;177.25;1.287;528.355;680.111;1;1;Minimal mining
1992;2;134.941;1.165;1064.609;1240.205;1;1;Minimal mining
1992;2;69.383;1.006;437.437;440.074;1;1;Minimal mining
1996;2;91.911;1.545;209.552;323.793;1;1;Minimal mining
1996;2;70.034;1.475;392.216;578.493;1;1;Minimal mining
1996;2;82.366;1.645;384.693;632.908;1;1;Minimal mining
1996;2;108.079;1.004;164.127;164.8;1;1;Minimal mining
1996;2;114.871;1.01;268.471;271.052;1;1;Minimal mining
1996;2;80.872;1.318;509.447;671.452;1;1;Minimal mining
1996;2;97.296;1.435;334.562;480.25;1;1;Minimal mining
1996;2;102.594;1.233;1077.814;1328.759;1;1;Minimal mining
1996;2;53.829;1.012;304.572;308.332;1;1;Minimal mining
2000;2;110.086;1.054;445.051;468.948;1;1;Minimal mining
2000;2;122.837;1.387;435.629;604.02;1;1;Minimal mining
2000;2;116.134;2.119;415.139;879.797;1;1;Minimal mining
2000;2;124.091;1.387;581.638;806.837;1;1;Minimal mining
2000;2;133.922;1.725;423.153;729.973;1;1;Minimal mining
2000;2;132.447;1.107;1076.514;1191.49;1;1;Minimal mining
2000;2;97.3;1.01;363.837;367.306;1;1;Minimal mining
2004;2;101.069;1.134;405.16;459.267;2;1;Moderate mining
2004;2;89.791;1.384;473.454;655.153;2;1;Moderate mining
2004;2;99.064;2.118;398.984;845.088;2;1;Moderate mining
2004;2;118.058;1.487;632.461;940.554;2;1;Moderate mining
2004;2;113.593;1.671;338.2;565.021;2;1;Moderate mining
2004;2;138.039;1.225;259.979;318.57;2;1;Moderate mining
2004;2;115.496;1.027;248.098;254.684;2;1;Moderate mining
2004;2;110.807;1.086;790.161;858.495;2;1;Moderate mining
2004;2;101.404;1.017;329.575;335.051;2;1;Moderate mining
2008;2;142.303;1.011;416.455;420.928;2;1;Moderate mining
2008;2;136.087;1.091;383.233;417.919;2;1;Moderate mining
2008;2;111.302;1.607;442.142;710.404;2;1;Moderate mining
2008;2;114.664;1.409;625.79;882.02;2;1;Moderate mining
2008;2;131.645;1.619;403.901;653.925;2;1;Moderate mining
2008;2;123.136;1.377;1080.013;1487.334;2;1;Moderate mining
2008;2;104.403;1.012;368.546;372.831;2;1;Moderate mining
2012;2;150.287;1.224;704.803;862.715;3;1;Intensive mining
2012;2;81.115;1.166;388.59;452.996;3;1;Intensive mining
2012;2;117.341;1.205;219.036;263.996;3;1;Intensive mining
2012;2;101.871;1.154;349.663;403.346;3;1;Intensive mining
2012;2;124.694;1.778;420.749;748.242;3;1;Intensive mining
2012;2;149.416;1.477;221.469;327.086;3;1;Intensive mining
2012;2;111.516;1.008;429.553;433.171;3;1;Intensive mining
2012;2;125.195;1.169;1089.254;1273.371;3;1;Intensive mining
2014;2;254.212;1.044;1088.412;1136.352;3;1;Intensive mining
2014;2;301.46;1.027;470.579;483.057;3;1;Intensive mining
2014;2;339.674;1.203;382.315;460.098;3;1;Intensive mining
2014;2;187.478;1.15;328.195;377.313;3;1;Intensive mining
2014;2;130.137;1.036;343.257;355.604;3;1;Intensive mining
2014;2;90.184;1.172;699.288;819.445;3;1;Intensive mining
2015;2;183.11;1.211;884.333;1070.822;3;1;Intensive mining
2015;2;142.624;1.079;599.868;647.226;3;1;Intensive mining
2015;2;211.172;1.164;459.767;535.107;3;1;Intensive mining
2015;2;167.938;1.181;886.758;1047.084;3;1;Intensive mining
2015;2;209.3;1.129;327.251;369.466;3;1;Intensive mining
2016;2;170.469;1.014;366.143;371.403;3;1;Intensive mining
2016;2;206.634;1.005;283.581;284.925;3;1;Intensive mining
2016;2;135.747;1.215;342.148;415.718;3;1;Intensive mining
2016;2;175.153;1.259;437.844;551.257;3;1;Intensive mining
2016;2;172.697;1.097;473.64;519.777;3;1;Intensive mining
2016;2;149.213;1.298;1387.971;1801.439;3;1;Intensive mining
2017;2;113.853;1.02;354.682;361.603;3;1;Intensive mining
2017;2;143.436;1.004;254.273;255.352;3;1;Intensive mining
2017;2;227.824;1.286;407.037;523.297;3;1;Intensive mining
2017;2;189.085;1.105;368.712;407.249;3;1;Intensive mining
2017;2;212.142;1.071;772.926;828.029;3;1;Intensive mining
2017;2;107.61;1.24;1196.747;1483.715;3;1;Intensive mining
2018;2;90.635;1.069;326.36;348.794;3;1;Intensive mining
2018;2;96.719;1.011;298.973;302.392;3;1;Intensive mining
2018;2;167.362;1.121;295.876;331.677;3;1;Intensive mining
2018;2;113.809;1.278;471.347;602.156;3;1;Intensive mining
2018;2;105.927;1.205;498.037;600.03;3;1;Intensive mining
2018;2;133.771;1.248;165.897;207.02;3;1;Intensive mining
2018;2;82.648;1.026;212.413;217.897;3;1;Intensive mining
2018;2;138.188;1.11;829.011;919.905;3;1;Intensive mining
2020;2;111.402;1.04;301.089;313;3;1;Intensive mining
2020;2;127.608;1.005;324.264;326;3;1;Intensive mining
2020;2;173.52;1.084;327.495;355;3;1;Intensive mining
2020;2;133.34;1.158;494.766;573;3;1;Intensive mining
2020;2;179.875;1.037;651.01;675;3;1;Intensive mining
2020;2;134.284;1.238;1187.122;1470;3;1;Intensive mining
1984;3;47.817;1.013;291.078;294.903;1;1;Minimal mining
1984;3;71.743;1.276;309.684;395.024;1;1;Minimal mining
1984;3;77.664;1.299;426.882;554.721;1;1;Minimal mining
1984;3;67.328;1.011;230.937;233.366;1;1;Minimal mining
1984;3;76.289;1.058;292.196;309.179;1;1;Minimal mining
1984;3;81.757;1.296;476.899;618.252;1;1;Minimal mining
1984;3;109.575;1.141;1453.77;1658.911;1;1;Minimal mining
1987;3;81.247;1.011;324.484;327.974;1;1;Minimal mining
1987;3;89.76;1.129;295.979;334.198;1;1;Minimal mining
1987;3;78.499;1.18;354.481;418.205;1;1;Minimal mining
1987;3;98.368;1.008;301.011;303.529;1;1;Minimal mining
1987;3;117.713;1.074;384.668;413.209;1;1;Minimal mining
1987;3;104.991;1.216;445.805;542.275;1;1;Minimal mining
1987;3;111.048;1.051;697.478;732.972;1;1;Minimal mining
1987;3;114.516;1.001;353.264;353.696;1;1;Minimal mining
1987;3;172.218;1.117;596.433;666.384;1;1;Minimal mining
1992;3;69.383;1.006;437.437;440.074;1;1;Minimal mining
1992;3;89.947;1.116;316.04;352.701;1;1;Minimal mining
1992;3;88.344;1.422;342.885;487.439;1;1;Minimal mining
1992;3;115.716;1.005;318.384;320.054;1;1;Minimal mining
1992;3;151.499;1.05;342.96;360.061;1;1;Minimal mining
1992;3;111.197;1.263;570.321;720.123;1;1;Minimal mining
1992;3;110.461;1.053;608.001;640.11;1;1;Minimal mining
1992;3;130.799;1.001;439.617;440.076;1;1;Minimal mining
1992;3;121.99;1.085;516.197;560.097;1;1;Minimal mining
1996;3;53.829;1.012;304.572;308.332;1;1;Minimal mining
1996;3;78.82;1.188;374.915;445.393;1;1;Minimal mining
1996;3;80.513;1.546;342.398;529.233;1;1;Minimal mining
1996;3;110.08;1.005;288.159;289.517;1;1;Minimal mining
1996;3;173.459;1.078;250.222;269.63;1;1;Minimal mining
1996;3;102.131;1.349;640.029;863.518;1;1;Minimal mining
1996;3;102.001;1.034;627.469;648.762;1;1;Minimal mining
1996;3;128.145;1.001;370.237;370.674;1;1;Minimal mining
1996;3;137.181;1.067;491.915;524.901;1;1;Minimal mining
2000;3;132.447;1.107;1076.514;1191.49;1;1;Minimal mining
2000;3;97.3;1.01;363.837;367.306;1;1;Minimal mining
2000;3;113.495;1.161;375.648;436.15;1;1;Minimal mining
2000;3;133.884;1.286;714.432;918.515;1;1;Minimal mining
2000;3;160.225;1.295;821.08;1063.6;1;1;Minimal mining
2000;3;152.584;1.034;540.066;558.188;1;1;Minimal mining
2000;3;203.479;1.009;317.686;320.403;1;1;Minimal mining
2000;3;229.118;1.052;494.162;520.064;1;1;Minimal mining
2004;3;110.807;1.086;790.161;858.495;2;1;Moderate mining
2004;3;101.404;1.017;329.575;335.051;2;1;Moderate mining
2004;3;98.576;1.171;396.299;463.966;2;1;Moderate mining
2004;3;111.354;1.339;717.87;960.918;2;1;Moderate mining
2004;3;120.594;1.304;812.434;1059.063;2;1;Moderate mining
2004;3;126.154;1.043;490.289;511.373;2;1;Moderate mining
2004;3;166.377;1.028;498.165;511.907;2;1;Moderate mining
2008;3;123.136;1.377;1080.013;1487.334;2;1;Moderate mining
2008;3;104.403;1.012;368.546;372.831;2;1;Moderate mining
2008;3;124.2;1.112;302.138;335.977;2;1;Moderate mining
2008;3;124.389;1.35;754.512;1018.686;2;1;Moderate mining
2008;3;146.884;1.764;298.756;526.892;2;1;Moderate mining
2008;3;116.691;1.036;1041.25;1078.546;2;1;Moderate mining
2008;3;161.535;1.047;498.412;521.99;2;1;Moderate mining
2012;3;125.195;1.169;1089.254;1273.371;3;1;Intensive mining
2012;3;147.442;1.341;575.867;772.363;3;1;Intensive mining
2012;3;193.583;1.217;461.043;560.88;3;1;Intensive mining
2012;3;153.18;1.018;303.319;308.655;3;1;Intensive mining
2012;3;120.167;1.01;374.605;378.469;3;1;Intensive mining
2012;3;180.328;1.064;470.543;500.686;3;1;Intensive mining
2012;3;354.021;1.022;819.238;837.42;3;1;Intensive mining
2014;3;90.184;1.172;699.288;819.445;3;1;Intensive mining
2014;3;136.409;1.08;989.749;1068.663;3;1;Intensive mining
2014;3;304.993;1.156;1124.73;1300.505;3;1;Intensive mining
2014;3;156.394;1.061;446.095;473.188;3;1;Intensive mining
2014;3;177.166;1.016;511.556;519.888;3;1;Intensive mining
2015;3;209.3;1.129;327.251;369.466;3;1;Intensive mining
2015;3;149.244;1.065;477.762;508.607;3;1;Intensive mining
2015;3;200.918;1.08;453.26;489.59;3;1;Intensive mining
2015;3;308.786;1.141;588.274;671.061;3;1;Intensive mining
2015;3;174.119;1.014;193.9;196.627;3;1;Intensive mining
2015;3;109.045;1.017;312.161;317.467;3;1;Intensive mining
2015;3;171.333;1.067;491.313;524.399;3;1;Intensive mining
2015;3;216.348;1.009;399.31;402.822;3;1;Intensive mining
2016;3;149.213;1.298;1387.971;1801.439;3;1;Intensive mining
2016;3;162.723;1.083;772.805;837.172;3;1;Intensive mining
2016;3;327.582;1.146;426.057;488.257;3;1;Intensive mining
2016;3;151.543;1.018;306.215;311.872;3;1;Intensive mining
2016;3;106.689;1.03;331.538;341.38;3;1;Intensive mining
2016;3;124.305;1.066;547.112;583.386;3;1;Intensive mining
2016;3;150.314;1.031;485.198;499.998;3;1;Intensive mining
2017;3;107.61;1.24;1196.747;1483.715;3;1;Intensive mining
2017;3;141.696;1.042;883.553;920.744;3;1;Intensive mining
2017;3;135.552;1.03;779.542;803.172;3;1;Intensive mining
2017;3;166.583;1.053;707.024;744.541;3;1;Intensive mining
2017;3;197.02;1.063;603.841;641.645;3;1;Intensive mining
2018;3;138.188;1.11;829.011;919.905;3;1;Intensive mining
2018;3;150.279;1.054;1143.87;1205.44;3;1;Intensive mining
2018;3;162.017;1.06;956.787;1014.634;3;1;Intensive mining
2018;3;177.123;1.076;659.902;710.121;3;1;Intensive mining
2018;3;214.829;1.028;451.94;464.52;3;1;Intensive mining
2020;3;134.284;1.238;1187.122;1470;3;1;Intensive mining
2020;3;161.064;1.06;867.302;919;3;1;Intensive mining
2020;3;192.439;1.04;882.928;918;3;1;Intensive mining
2020;3;181.345;1.071;711.317;762;3;1;Intensive mining
1984;4;109.575;1.141;1453.77;1658.911;1;1;Minimal mining
1984;4;170.591;1.158;918.359;1063.043;1;1;Minimal mining
1984;4;81.871;1.158;325.829;377.172;1;1;Minimal mining
1984;4;117.339;1.103;324.796;358.317;1;1;Minimal mining
1984;4;161.538;1.074;1060.095;1138.53;1;1;Minimal mining
1987;4;172.218;1.117;596.433;666.384;1;1;Minimal mining
1987;4;182.476;1.136;936.336;1063.739;1;1;Minimal mining
1987;4;113.464;1.136;318.28;361.549;1;1;Minimal mining
1987;4;141.526;1.047;304.572;318.957;1;1;Minimal mining
1987;4;212.389;1.053;978.378;1030.489;1;1;Minimal mining
1992;4;121.99;1.085;516.197;560.097;1;1;Minimal mining
1992;4;156.323;1.129;779.755;880.154;1;1;Minimal mining
1992;4;137.706;1.089;550.934;600.105;1;1;Minimal mining
1992;4;226.928;1.023;343.822;351.803;1;1;Minimal mining
1992;4;233.448;1.037;1262.149;1308.49;1;1;Minimal mining
1996;4;137.181;1.067;491.915;524.901;1;1;Minimal mining
1996;4;151.868;1.197;812.51;972.952;1;1;Minimal mining
1996;4;168.994;1.058;504.106;533.367;1;1;Minimal mining
1996;4;243.197;1.011;402.659;406.987;1;1;Minimal mining
1996;4;221.217;1.031;523.804;539.783;1;1;Minimal mining
1996;4;190.909;1.011;857.303;866.638;1;1;Minimal mining
2000;4;203.479;1.009;317.686;320.403;1;1;Minimal mining
2000;4;229.118;1.052;494.162;520.064;1;1;Minimal mining
2000;4;230.253;1.205;734.076;884.467;1;1;Minimal mining
2000;4;208.11;1.042;672.122;700.328;1;1;Minimal mining
2000;4;257.972;1.011;432.399;437.37;1;1;Minimal mining
2000;4;222.123;1.04;629.615;655.086;1;1;Minimal mining
2004;4;166.377;1.028;498.165;511.907;2;1;Moderate mining
2004;4;249.443;1.104;493.853;545.077;2;1;Moderate mining
2004;4;183.735;1.278;734.147;938.555;2;1;Moderate mining
2004;4;201.557;1.063;1677.959;1783.743;2;1;Moderate mining
2008;4;161.535;1.047;498.412;521.99;2;1;Moderate mining
2008;4;289.521;1.15;508.072;584.223;2;1;Moderate mining
2008;4;203.699;1.216;636.024;773.428;2;1;Moderate mining
2008;4;169.197;1.08;992.85;1072.2;2;1;Moderate mining
